1,(0-5),(0-10),(0-15),(0-20),25-,*
2,(0-5),(0-10),(0-15),(0-20),25-,*
3,(0-5),(0-10),(0-15),(0-20),25-,*
4,(0-5),(0-10),(0-15),(0-20),25-,*
5,(0-10),(0-15),(0-20),25-,*,*
6,(0-10),(0-15),(0-20),25-,*,*
7,(0-10),(0-15),(0-20),25-,*,*
8,(0-10),(0-15),(0-20),25-,*,*
9,(0-10),(0-15),(0-20),25-,*,*
10,(0-15),(0-20),25-,*,*,*
11,(0-15),(0-20),25-,*,*,*
12,(0-15),(0-20),25-,*,*,*
13,(0-15),(0-20),25-,*,*,*
14,(0-15),(0-20),25-,*,*,*
15,(0-20),25-,*,*,*,*
16,(0-20),25-,*,*,*,*
17,(0-20),25-,*,*,*,*
18,(0-20),25-,*,*,*,*
19,(0-20),25-,*,*,*,*
20,25-,*,*,*,*,*
21,25-,*,*,*,*,*
22,25-,*,*,*,*,*
23,25-,*,*,*,*,*
24,25-,*,*,*,*,*
25,(25-30),(25-35),(25-40),(25-45),50-,*
26,(25-30),(25-35),(25-40),(25-45),50-,*
27,(25-30),(25-35),(25-40),(25-45),50-,*
28,(25-30),(25-35),(25-40),(25-45),50-,*
29,(25-30),(25-35),(25-40),(25-45),50-,*
30,(25-35),(25-40),(25-45),50-,*,*
31,(25-35),(25-40),(25-45),50-,*,*
32,(25-35),(25-40),(25-45),50-,*,*
33,(25-35),(25-40),(25-45),50-,*,*
34,(25-35),(25-40),(25-45),50-,*,*
35,(25-40),(25-45),50-,*,*,*
36,(25-40),(25-45),50-,*,*,*
37,(25-40),(25-45),50-,*,*,*
38,(25-40),(25-45),50-,*,*,*
39,(25-40),(25-45),50-,*,*,*
40,(40-45),50-,*,*,*,*
41,(40-45),50-,*,*,*,*
42,(40-45),50-,*,*,*,*
43,(40-45),50-,*,*,*,*
44,(40-45),50-,*,*,*,*
45,50-,*,*,*,*,*
46,50-,*,*,*,*,*
47,50-,*,*,*,*,*
48,50-,*,*,*,*,*
49,50-,*,*,*,*,*
50,(50-55),(50-60),(50-65),(50-70),75-,*
51,(50-55),(50-60),(50-65),(50-70),75-,*
52,(50-55),(50-60),(50-65),(50-70),75-,*
53,(50-55),(50-60),(50-65),(50-70),75-,*
54,(50-55),(50-60),(50-65),(50-70),75-,*
55,(50-60),(50-65),(50-70),75-,*,*
56,(50-60),(50-65),(50-70),75-,*,*
57,(50-60),(50-65),(50-70),75-,*,*
58,(50-60),(50-65),(50-70),75-,*,*
59,(50-60),(50-65),(50-70),75-,*,*
60,(50-65),(50-70),75-,*,*,*
61,(50-65),(50-70),75-,*,*,*
62,(50-65),(50-70),75-,*,*,*
63,(50-65),(50-70),75-,*,*,*
64,(50-65),(50-70),75-,*,*,*
65,(50-70),75-,*,*,*,*
66,(50-70),75-,*,*,*,*
67,(50-70),75-,*,*,*,*
68,(50-70),75-,*,*,*,*
69,(50-70),75-,*,*,*,*
70,75-,*,*,*,*,*
71,75-,*,*,*,*,*
72,75-,*,*,*,*,*
73,75-,*,*,*,*,*
74,75-,*,*,*,*,*
75,(75-80),(75-85),(75-90),(70-95),100-,*
76,(75-80),(75-85),(75-90),(70-95),100-,*
77,(75-80),(75-85),(75-90),(70-95),100-,*
78,(75-80),(75-85),(75-90),(70-95),100-,*
79,(75-80),(75-85),(75-90),(70-95),100-,*
80,(75-85),(75-90),(75-95),100-,*,*
81,(75-85),(75-90),(75-95),100-,*,*
82,(75-85),(75-90),(75-95),100-,*,*
83,(75-85),(75-90),(75-95),100-,*,*
84,(75-85),(75-90),(75-95),100-,*,*
85,(75-90),(75-95),100-,*,*,*
86,(75-90),(75-95),100-,*,*,*
87,(75-90),(75-95),100-,*,*,*
88,(75-90),(75-95),100-,*,*,*
89,(75-90),(75-95),100-,*,*,*
90,(75-95),100-,*,*,*,*
91,(75-95),100-,*,*,*,*
92,(75-95),100-,*,*,*,*
93,(75-95),100-,*,*,*,*
94,(75-95),100-,*,*,*,*
95,100-,*,*,*,*,*
96,100-,*,*,*,*,*
97,100-,*,*,*,*,*
98,100-,*,*,*,*,*
99,100-,*,*,*,*,*
100,100+,*,*,*,*,*
